SampleNo,CrackLocation,CrackType,Freq1,Freq2,Freq3,CrackReason,CrackPresent,NumberOfCracks,ReferencePoint,Crack1Distance(mm),Crack2Distance(mm),Crack3Distance(mm),Mode1Shape(mm),Mode2Shape(mm),Mode3Shape(mm)
145,Trailing Edge,Multiple Cracks,57.09,366.29,398.10,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,218.8,58.2,,174.72,508.51,755.24
146,Trailing Edge,Multiple Cracks,45.78,330.39,375.44,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,300.8,23.6,,156.84,475.12,745.29
147,Spar 2,Multiple Cracks,39.83,279.13,426.31,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,190.1,59.2,,133.38,380.77,579.9
148,Spar 2,Multiple Cracks,36.51,345.24,381.79,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,153.2,59.2,,120.35,348.03,503.62
149,Trailing Edge,Multiple Cracks,49.33,258.82,539.73,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,144.7,162.1,22.5,175.35,495.74,754.85
150,Rib 2,Multiple Cracks,57.68,244.69,473.14,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Trailing Edge,35.2,59,,99.16,283.78,438.93
151,Lower Skin,Multiple Cracks,54.56,237.79,454.31,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,232.5,198.3,,122.84,369.91,531.24
152,Upper Skin,Multiple Cracks,71.02,252.17,361.79,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,37.2,100.2,101.9,127.86,389.89,591.13
153,Trailing Edge,Multiple Cracks,56.68,244.82,369.02,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,168.0,45.4,,156.8,450.9,706.86
154,Spar 1,Multiple Cracks,47.29,321.03,363.83,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,55.9,0,226.0,132.33,403.79,640.71
155,Trailing Edge,Multiple Cracks,36.56,296.90,518.44,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,290.2,23.6,,196.12,583.66,920.54
156,Rib 1,Multiple Cracks,53.56,363.23,425.86,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Trailing Edge,1.4,44.2,,86.49,271.51,433.85
157,Spar 1,Multiple Cracks,55.58,323.66,458.82,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,128.8,223,228.0,137.29,386.14,543.47
158,Trailing Edge,Multiple Cracks,52.91,276.48,478.46,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Wing Root,284.8,58.2,,202.66,583.9,880.62
159,Trailing Edge,Multiple Cracks,59.94,373.20,382.08,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,178.6,45.4,,158.43,444.64,650.99
160,Lower Skin,Multiple Cracks,50.94,357.44,446.85,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,171.0,208.6,,124.11,379,554.03
161,Upper Skin,Multiple Cracks,60.77,243.22,400.43,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,1,Wing Root,38.3,100.2,116.6,142.06,400.12,578.79
162,Trailing Edge,Multiple Cracks,44.63,245.05,407.65,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,0.0,40.6,221.8,198.95,567.26,882.17
163,Spar 1,Multiple Cracks,45.97,268.02,472.52,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,60.1,0,273.0,120.24,381.85,541.3
164,Spar 1,Multiple Cracks,53.83,301.74,445.50,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,124.0,223,272.0,104.43,300.03,443.32
165,Spar 2,Multiple Cracks,64.81,315.42,414.51,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Wing Root,152.9,253.1,29.2,117.92,375.27,593.95
166,Rib 1,Multiple Cracks,73.04,252.16,414.26,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,3,Trailing Edge,27.6,49.8,18.3,109.16,343.97,520.8
167,Rib 3 and Rib 4,Multiple Cracks,64.84,291.50,399.26,Indicates widespread material degradation or repeated cyclic stresses; may arise due to poor manufacturing or long-term fatigue.,Yes,2,Trailing Edge,14.3,59.6,,104.38,304.63,481.33
168,Trailing Edge,Edge Crack,50.08,280.03,463.38,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,120.5,,,152.93,465.86,718.1
169,Lower Skin,Edge Crack,32.76,263.04,401.31,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,50.1,,,135.16,385.28,542.51
170,Leading Edge,V-Notch,61.79,352.68,397.85,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,301.9,,,154.69,485.3,716.43
171,Upper Skin,Edge Crack,56.04,314.77,367.48,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,265.3,,,133.16,418.62,611.43
172,Lower Skin,Edge Crack,38.85,224.67,314.33,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,45.9,,,151.53,442.34,656.18
173,Leading Edge,V-Notch,50.78,331.51,379.78,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,299.9,,,132.47,401.92,592.64
174,Lower Skin,Edge Crack,48.05,301.34,431.77,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,146.9,,,144.61,432.52,667.83
175,Upper Skin,Edge Crack,43.69,308.76,376.55,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,137.6,,,135.82,433.13,648.18
176,Spar 2,Edge Crack,41.97,353.52,536.48,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,115.4,,,121.6,367.86,521.55
177,Upper Skin,Edge Crack,65.93,378.64,404.26,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,288.3,,,139.12,398.04,605.21
178,Leading Edge,V-Notch,57.34,351.33,411.18,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,299.7,,,151.71,473.9,669.94
179,Rib 1,Edge Crack,49.14,269.35,429.25,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Trailing Edge,13.2,,,89.46,265.61,382.57
180,Lower Skin,Edge Crack,57.09,292.29,514.53,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,220.2,,,121.09,383.05,545.41
181,Lower Skin,Edge Crack,39.26,282.89,327.82,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,46.9,,,154.43,477.71,670.52
182,Trailing Edge,Edge Crack,61.47,275.13,425.55,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,137.2,,,149.62,444.34,704.5
183,Upper Skin,Edge Crack,48.14,274.39,313.71,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,172.5,,,124.02,386.07,604.24
184,Rib 1,Edge Crack,53.28,332.65,474.32,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Trailing Edge,15.8,,,80.13,243.38,377.72
185,Leading Edge,V-Notch,57.40,313.35,416.40,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,296.9,,,159.1,449.66,662.22
186,Lower Skin,Edge Crack,58.14,390.54,397.88,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,209.3,,,134.38,407.61,620.89
187,Spar 2,Edge Crack,44.59,333.51,589.67,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,126.4,,,111.25,343.21,523.49
188,Trailing Edge,Edge Crack,53.16,244.97,497.91,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,276.9,,,144.75,426.67,655.61
189,Trailing Edge,Edge Crack,35.73,251.36,430.71,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,104.6,,,160.85,469.62,732.65
190,Leading Edge,V-Notch,62.16,297.41,379.88,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,296.9,,,143.26,424.38,620.07
191,Lower Skin,Edge Crack,49.34,293.39,402.80,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,178.8,,,136.88,409.23,576.38
192,Upper Skin,Edge Crack,48.83,267.56,393.92,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,155.4,,,135.41,415.03,652.85
193,Rib 6,Inclined,54.16,300.06,421.05,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,94.0,,,78.74,248.98,379.39
194,Spar 1,Inclined,37.03,375.58,374.02,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,133.9,,,99.42,299.03,458.72
195,Trailing Edge,Inclined,65.09,261.83,550.50,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,60.8,,,142.1,422.48,634.55
196,Spar 3,Inclined,43.06,259.34,519.17,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,159.3,,,108.17,313.02,479.88
197,Spar 2,Inclined,42.77,328.90,378.52,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,80.6,,,92.83,281.24,418.07
198,Rib 2,Inclined,69.11,336.66,369.27,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,63.4,,,86.35,266.17,386.4
199,Rib 1,Inclined,37.83,280.96,519.48,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Trailing Edge,80.6,,,76.19,238.88,351.02
200,Spar 1,Inclined,47.63,338.37,388.32,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,175.1,,,98.21,275.7,418.86
201,Upper Skin,Inclined,68.86,291.62,377.41,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,302.9,,,124.58,367.65,576.83
202,Upper Skin,Inclined,62.20,292.12,494.00,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,3.0,,,115.01,367.48,526.55
203,Spar 1,Inclined,34.19,337.13,402.76,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,182.2,,,82.89,257.48,399.35
204,Lower Skin,Inclined,64.19,287.41,380.43,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,52.0,,,107.74,328.64,524.14
205,Spar 1,Inclined,40.63,291.50,486.88,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,112.3,,,83.56,242.67,342.41
206,Trailing Edge,Inclined,36.89,320.12,469.15,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,43.6,,,148.01,425.73,680.38
207,Leading Edge,Edge Crack,61.07,303.78,362.25,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,296.5,,,152.84,464.78,671.97
208,Rib 1,Irregular,61.64,331.45,310.91,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,86.0,,,74.48,221.07,314.03
209,Rib 1,Irregular,55.43,306.89,402.32,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,96.2,,,73.11,228.72,340.57
210,Leading Edge,V-Notch,51.38,313.82,377.89,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,290.9,,,160.7,504.78,749.12
211,Rib 1,Irregular,52.21,341.12,360.02,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,10.2,,,82.22,257.19,391.55
212,Leading Edge,V-Notch,45.70,277.50,396.33,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,288.6,,,123.4,367.93,565.11
213,Rib 1,Irregular,54.05,283.04,387.31,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,94.3,,,81.24,237.21,366.84
214,Leading Edge,Edge Crack,54.15,282.07,385.98,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,286.5,,,171.03,518.93,740.37
215,Rib 1,Irregular,52.81,343.80,378.87,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,89.5,,,79.45,246.14,379.55
216,Rib 1,Irregular,55.83,308.13,383.42,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,73.9,,,85.85,253.61,404.46
217,Rib 1,Irregular,51.98,306.05,385.78,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,80.4,,,81.45,235.01,374.18
218,Rib 1,Irregular,56.55,299.76,327.42,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,11.4,,,75.86,238.66,361.79
219,Leading Edge,V-Notch,63.10,352.66,342.58,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,285.9,,,142.33,439.87,656.86
220,Rib 1,Irregular,59.38,305.22,384.75,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,90.5,,,65.06,200.28,301.45
221,Leading Edge,V-Notch,53.98,278.09,418.46,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,283.3,,,154.66,448.25,651.59
222,Rib 1,Irregular,59.20,321.15,358.36,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,96.9,,,83.86,237.02,361.75
223,Rib 1,Irregular,48.15,365.31,390.08,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,99.0,,,68.94,215.13,307.61
224,Leading Edge,V-Notch,61.40,288.38,378.64,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,282.9,,,151.97,473.39,705.03
225,Rib 1,Irregular,58.50,318.22,379.34,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,36.4,,,69.48,217.32,313.8
226,Rib 1,Irregular,51.75,283.68,300.00,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,91.3,,,80.06,238.94,347.28
227,Leading Edge,V-Notch,60.02,309.04,385.97,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,281.9,,,149.69,469.07,695.36
228,Leading Edge,V-Notch,43.10,223.77,349.97,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,281.6,,,133.17,393.72,573.31
229,Leading Edge,V-Notch,55.33,294.70,374.96,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,279.3,,,124.59,394.51,621.52
230,Leading Edge,V-Notch,56.00,288.29,423.45,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,275.7,,,140.49,404.43,584.26
231,Leading Edge,V-Notch,46.52,293.26,346.39,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,272.9,,,134.15,405.18,624.14
232,Rib 1,Irregular,56.48,334.59,415.19,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,10.0,,,86.6,275.46,401.77
233,Rib 1,Irregular,55.98,293.14,401.46,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,95.3,,,84.47,237.28,340.93
234,Leading Edge,Through Thickness,65.64,274.20,467.21,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,263.2,,,160.79,465.59,668.06
235,Rib 1,Irregular,54.97,278.57,406.92,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,11.0,,,85.73,258.99,407.9
236,Rib 1,Irregular,57.06,330.54,417.72,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,77.6,,,72.27,225.69,334.62
237,Leading Edge,V-Notch,56.97,404.50,432.88,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,262.2,,,147.37,440.57,670.19
238,Rib 1,Irregular,57.05,276.60,456.16,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,15.9,,,77.34,224.76,324.16
239,Rib 1,Irregular,65.30,280.35,374.83,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,89.6,,,66.4,190.74,269.97
240,Rib 1,Irregular,52.78,329.03,357.72,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,98.1,,,73.29,226.77,319.52
241,Rib 1,Irregular,64.14,303.19,379.93,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,87.1,,,76.09,215.57,304.98
242,Rib 1,Irregular,56.67,280.91,367.44,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,83.4,,,77.16,221.17,335.21
243,Leading Edge,Edge Crack,51.53,301.85,377.00,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,261.1,,,147.52,428.79,620.27
244,Rib 1,Irregular,57.72,281.76,423.45,Likely from stress concentration and fatigue around a fastener or service hole.,Yes,1,Trailing Edge,100.0,,,64.84,191.41,290.52
245,Leading Edge,V-Notch,58.59,326.50,414.47,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,259.5,,,160.64,487.1,764.09
246,Leading Edge,V-Notch,50.09,316.59,365.13,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,259.0,,,162.65,520.37,831.97
247,Leading Edge,Through Thickness,55.88,278.37,389.29,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,257.3,,,172.03,523.67,798.64
248,Leading Edge,Edge Crack,67.37,279.67,387.21,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,256.1,,,162.04,490.83,772.98
249,Leading Edge,V-Notch,58.02,319.28,326.35,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,254.4,,,141.27,397.6,560.63
250,Leading Edge,Transverse,53.55,324.65,428.85,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,253,,,148.88,432.72,676.16
251,Leading Edge,Through Thickness,55,266.4,489.71,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,245.2,,,174.67,546.35,813.3
252,Leading Edge,Edge Crack,47.10,269.28,396.78,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,241.0,,,147.45,469.32,666.19
253,Leading Edge,V-Notch,50.04,360.52,372.63,"Caused by high-cycle fatigue or stress concentration from aerodynamic loads, initiating a notch-shaped crack.",Yes,1,Wing Root,236.8,,,156.06,466.42,698.56
254,Leading Edge,Transverse,51.37,308.72,403.06,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,231.5,,,166.2,501.43,736.72
255,Leading Edge,Transverse,57.38,304.31,392.39,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,212.9,,,162.42,513.97,757.59
256,Leading Edge,Transverse,45.66,310.29,429.58,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,208.5,,,178.09,531.52,811.09
257,Leading Edge,Edge Crack,44.21,266.04,440.37,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,208.3,,,178.52,521.39,746.65
258,Leading Edge,Through Thickness,57.63,329.95,462.67,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,204,,,163.52,492.09,780.9
259,Leading Edge,Transverse,50.95,293.84,307.03,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,200.5,,,133.72,374.53,590
260,Leading Edge,Transverse,50.87,333.68,379.52,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,198.6,,,134.01,383.81,591.7
261,Leading Edge,Edge Crack,45.68,302.69,491.51,"Usually caused by surface damage, stress concentration at fasteners, or fatigue from repeated loading near the edge.",Yes,1,Wing Root,194.0,,,177.87,558.04,799.03
262,Leading Edge,Transverse,53.08,339.96,426.72,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,174.6,,,168.28,487.39,692.76
263,Leading Edge,Transverse,57.07,313.57,387.38,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,160.3,,,158.23,495.48,756.77
264,Leading Edge,Transverse,53.1,334.67,432.05,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,154.1,,,167.13,531.61,841.94
265,Leading Edge,Transverse,58.21,318.78,425.14,Formed perpendicular to the load direction due to tensile stress; common in brittle failure modes.,Yes,1,Wing Root,153.8,,,175.06,504.18,796.93
266,Leading Edge,Irregular,45.85,330.96,320.21,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,116.5,,,163.68,493.66,782.62
267,Leading Edge,Irregular,45.40,300.96,439.29,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,114.7,,,137.47,406.79,647.41
268,Leading Edge,Irregular,45.33,259.17,433.78,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,111.5,,,135.69,418.21,661.06
269,Leading Edge,Irregular,50.53,302.38,432.95,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,108.3,,,142.06,438.54,621.49
270,Leading Edge,Irregular,54.63,241.11,354.50,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,108.0,,,145.41,456.21,724.51
271,Leading Edge,Irregular,53.47,287.51,417.43,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,102.7,,,155.56,454.3,665.48
272,Leading Edge,Irregular,45.16,321.32,383.78,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,102.5,,,139.02,399.9,627.2
273,Leading Edge,Through Thickness,54.96,313.61,384.20,"Results from severe fatigue, impact loading, or poor material quality; crack propagates through the full thickness of the component.",Yes,1,Wing Root,101.7,,,143.64,439.29,623.83
274,Leading Edge,Irregular,57.98,319.32,365.50,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,100.5,,,141.15,409.35,590.13
275,Leading Edge,Irregular,55.95,312.18,385.27,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,100.5,,,141.11,429.25,601.1
276,Leading Edge,Irregular,51.36,303.09,424.83,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,99.0,,,157.54,464.68,681.28
277,Leading Edge,Irregular,62.55,314.72,438.24,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,98.8,,,162.91,482,739.17
278,Leading Edge,Irregular,49.80,344.50,407.14,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,98.2,,,145.37,440.35,630.23
279,Leading Edge,Irregular,46.42,293.48,419.64,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,97.9,,,124.9,390.87,562.47
280,Leading Edge,Irregular,55.25,276.26,353.44,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,93.5,,,163.53,513.46,781.66
281,Leading Edge,Irregular,52.56,283.32,416.60,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,93.3,,,125.49,382.15,575.44
282,Leading Edge,Irregular,51.26,308.39,401.75,"Likely due to foreign object impact (bird strike, debris) causing localized circular damage.",Yes,1,Wing Root,81.8,,,127.97,382.66,543.74
283,Leading Edge,Inclined,65.25,275.2,499.83,"Typically caused by combined loading conditions or shear stress, leading to angled crack propagation.",Yes,1,Wing Root,59.7,,,154.13,439.77,690.23
284,Rib 1,X-Crack,55.15,335.06,387.96,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,47.0,,,80.87,243.83,378.18
285,Rib 1,X-Crack,57.14,333.41,389.87,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,64.3,,,77.38,245.46,368.54
286,Rib 1,X-Crack,51.81,335.33,405.63,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,58.0,,,83.55,239.93,368.21
287,Rib 1,X-Crack,55.71,284.75,365.12,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,56.9,,,76.92,232.05,329.02
288,Rib 1,X-Crack,57.12,360.33,341.40,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,66.9,,,71.57,207.18,295.66
289,Rib 1,X-Crack,48.69,304.44,458.11,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,53.7,,,82.15,257.8,381.21
290,Rib 1,X-Crack,53.51,331.84,309.05,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,51.1,,,83.21,259.23,370.65
291,Rib 1,X-Crack,53.69,297.97,364.73,Typically from intersecting fatigue cracks due to combined bending and torsion stresses.,Yes,1,Trailing Edge,69.2,,,71.96,217.14,315.52
